20|18-116B|Primary spec|All Metals Services|$20.77
21|18-209A|Primary spec|All Metals Services|$41.42
22|18-210A|Primary spec|All Metals Services|$41.42
23|18-212A|Primary spec|All Metals Services|$8.17
24|18-213A|Primary spec|All Metals Services|$32.15
25|18-293C|Primary spec|All Metals Services|$355.57
26|18-318A|Primary spec|All Metals Services|$4.17
27|18-319A|Primary spec|All Metals Services|$4.17
28|18-328A|Primary spec|All Metals Services|$248.67
29|18-329A|Primary spec|All Metals Services|$52.02
30|18-330A|Primary spec|All Metals Services|$52.02
31|18-370B|Primary spec|All Metals Services|$302.13
32|18-371A|Primary spec|All Metals Services|$68.97
33|18-372A|Primary spec|All Metals Services|$122.02
34|18-373A|Primary spec|All Metals Services|$8.10
35|18-374A|Primary spec|All Metals Services|$11.68
36|18-375A|Primary spec|All Metals Services|$17.44
37|18-376A|Primary spec|All Metals Services|$30.31
38|18-377A|Primary spec|All Metals Services|$45.57
39|18-378A|Primary spec|All Metals Services|$78.38
40|18-379A|Primary spec|All Metals Services|$106.69
41|18-380A|Primary spec|All Metals Services|$139.35
42|18-381A|Primary spec|All Metals Services|$169.95
43|18-167A|Primary spec|All Metals Services|$514.92
44|18-168A|Primary spec|All Metals Services|$514.92
45|18-182A|Primary spec|All Metals Services|$17.37
46|18-185A|Primary spec|All Metals Services|$106.54
47|18-186A|Primary spec|All Metals Services|$345.19
48|18-187A|Primary spec|All Metals Services|$345.19
49|18-188A|Primary spec|All Metals Services|$958.87
50|18-189A|Primary spec|All Metals Services|$68.19
51|18-190A|Primary spec|All Metals Services|$106.54
52|18-191A|Primary spec|All Metals Services|$345.19
53|18-192A|Primary spec|All Metals Services|$345.19
54|18-193A|Primary spec|All Metals Services|$209.29
55|18-360A|Primary spec|All Metals Services|$38.35
56|18-361A|Primary spec|All Metals Services|$86.88
1|18-029A|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$31.46
2|18-030A|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$8.53
3|18-031A|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$10.93
4|18-032A|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$14.31
5|18-090A|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$110.34
6|18-091A|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$170.74
7|18-094A|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$26.24
8|18-102A|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$55.54
9|18-103A|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$22.33
10|18-104A|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$20.49
11|18-105A|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$91.08
12|18-106A|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$91.08
13|18-108A|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$55.44
14|18-109A|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$55.54
15|18-110A|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$88.18
16|18-111A|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$66.45
17|18-112A|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$66.45
18|18-113A|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$46.31
19|18-114A|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$32.67
20|18-115A|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$14.31
21|18-117B|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$322.45
22|18-118B|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$139.44
23|18-119B|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$894.54
24|18-120C|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$894.54
25|18-121A|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$55.54
26|18-122A|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$91.08
27|18-123A|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$55.44
28|18-124B|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$98.95
29|18-125B|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$98.95
30|18-180B|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$1675.04
31|18-208A|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$60.14
32|18-211A|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$32.65
33|18-214A|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$29.81
34|18-215C|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$29.81
35|18-217A|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$100.58
36|18-218A|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$175.70
37|18-219A|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$100.58
38|18-220A|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$68.76
39|18-221A|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$100.61
40|18-222A|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$68.76
41|18-223A|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$31.45
42|18-282A|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$29.81
43|18-283A|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$29.81
44|18-284A|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$3.46
45|18-295A|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$74.45
46|18-296B|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$31.45
47|18-299B|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$100.61
48|18-309B|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$170.74
49|18-313A|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$20.49
50|18-314A|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$20.49
51|18-317A|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$31.45
52|18-353A|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$100.61
53|18-354B|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$175.70
54|18-355B|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$175.70
55|18-356A|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$128.34
56|18-362A|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$32.67
57|18-382A|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$342.01
58|18-383A|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$269.31
59|18-384A|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$341.77
60|18-385A|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$269.32
61|18-386A|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$220.65
62|18-387A|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$170.74
63|18-394A|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$23.22
64|18-395A|Primary spec|ThyssenKrupp Aerospace, Milton Keynes, UK Limited|$4.61
